T/s	S(T)/ms-2
0	1.608184
0.01	1.97806632
0.02	2.34794864
0.03	2.71783096
0.04	3.08771328
0.05	3.4575956
0.06	3.82747792
0.07	4.19736024
0.08	4.56724256
0.09	4.93712488
0.1	5.3070072
0.11	5.3070072
0.12	5.3070072
0.13	5.3070072
0.14	5.3070072
0.15	5.3070072
0.16	5.3070072
0.17	5.3070072
0.18	5.3070072
0.19	5.3070072
0.2	5.3070072
0.21	5.3070072
0.22	5.3070072
0.23	5.3070072
0.24	5.3070072
0.25	5.3070072
0.26	5.3070072
0.27	5.3070072
0.28	5.3070072
0.29	5.3070072
0.3	5.3070072
0.31	5.3070072
0.32	5.3070072
0.33	5.3070072
0.34	5.3070072
0.35	5.3070072
0.36	5.3070072
0.37	5.3070072
0.38	5.3070072
0.39	5.3070072
0.4	5.3070072
0.41	5.3070072
0.42	5.3070072
0.43	5.3070072
0.44	5.3070072
0.45	5.3070072
0.46	5.3070072
0.47	5.3070072
0.48	5.3070072
0.49	5.3070072
0.5	5.3070072
0.51	5.3070072
0.52	5.3070072
0.53	5.3070072
0.54	5.3070072
0.55	5.3070072
0.56	5.3070072
0.57	5.3070072
0.58	5.3070072
0.59	5.3070072
0.6	5.3070072
0.61	5.3070072
0.62	5.3070072
0.63	5.3070072
0.64	5.3070072
0.65	5.3070072
0.66	5.3070072
0.67	5.3070072
0.68	5.3070072
0.69	5.3070072
0.7	5.3070072
0.71	5.3070072
0.72	5.3070072
0.73	5.3070072
0.74	5.3070072
0.75	5.3070072
0.76	5.3070072
0.77	5.3070072
0.78	5.3070072
0.79	5.3070072
0.8	5.3070072
0.81	5.241488593
0.82	5.177568
0.83	5.115187663
0.84	5.054292571
0.85	4.994830306
0.86	4.936750884
0.87	4.880006621
0.88	4.824552
0.89	4.770343551
0.9	4.717339733
0.91	4.665500835
0.92	4.61478887
0.93	4.565167484
0.94	4.516601872
0.95	4.469058695
0.96	4.422506
0.97	4.376913155
0.98	4.332250776
0.99	4.288490667
1	4.24560576
1.01	4.203570059
1.02	4.162358588
1.03	4.12194734
1.04	4.082313231
1.05	4.043434057
1.06	4.005288453
1.07	3.96785585
1.08	3.931116444
1.09	3.895051156
1.1	3.8596416
1.11	3.824870054
1.12	3.790719429
1.13	3.757173239
1.14	3.724215579
1.15	3.691831096
1.16	3.660004966
1.17	3.628722872
1.18	3.597970983
1.19	3.567735933
1.2	3.5380048
1.21	3.508765091
1.22	3.480004721
1.23	3.451712
1.24	3.423875613
1.25	3.396484608
1.26	3.369528381
1.27	3.342996661
1.28	3.3168795
1.29	3.291167256
1.3	3.265850585
1.31	3.240920427
1.32	3.216368
1.33	3.192184782
1.34	3.168362507
1.35	3.144893156
1.36	3.121768941
1.37	3.098982307
1.38	3.076525913
1.39	3.054392633
1.4	3.032575543
1.41	3.011067915
1.42	2.989863211
1.43	2.968955077
1.44	2.948337333
1.45	2.928003972
1.46	2.907949151
1.47	2.888167184
1.48	2.868652541
1.49	2.849399839
1.5	2.83040384
1.51	2.811659444
1.52	2.793161684
1.53	2.774905725
1.54	2.756886857
1.55	2.73910049
1.56	2.721542154
1.57	2.70420749
1.58	2.687092253
1.59	2.670192302
1.6	2.6535036
1.61	2.637022211
1.62	2.620744296
1.63	2.60466611
1.64	2.588784
1.65	2.5730944
1.66	2.557593831
1.67	2.542278898
1.68	2.527146286
1.69	2.512192757
1.7	2.497415153
1.71	2.482810386
